AppID,Name,Release date,Price,Genres,Positive,Negative
1588250,Contract Killer,"May 19, 2022",11.99,"Action,Casual,Indie",18,0
46370,Rig n Roll,"Jul 9, 2010",4.99,Simulation,269,207
857370,The Entity,"Jul 2, 2018",2.99,"Action,Casual,Indie,Strategy",15,22
1070820,RealFlight 9.5S,"Dec 7, 2021",69.99,"Indie,Racing,Simulation",384,87
563360,Market Tycoon,"May 11, 2017",9.99,"Casual,Indie,RPG,Simulation,Strategy,Early Access",178,134
362940,Courier of the Crypts,"Apr 18, 2019",9.99,"Adventure,Indie",54,3
1662340,Case 02: Paranormal Evil,"Sep 13, 2021",5.99,"Adventure,Casual,Indie,RPG",25,1
1555880,Beam Car Crash Derby,"Mar 17, 2021",1.99,"Action,Adventure,Casual,Indie,Racing,Simulation,Sports",6,4
1362940,Seasons of the Samurai,"Nov 26, 2020",9.99,"Casual,Indie,Strategy",2,0
495290,AccuRC 2,"Jul 12, 2017",49.99,"Racing,Simulation,Sports",341,42
1986170,Mad Bullz,"Jun 1, 2022",2.99,"Indie,Early Access",6,1
2222970,Blood Wizard Odyssey,"Dec 12, 2022",0.0,"Adventure,Free to Play,Indie,RPG",0,0
1402320,Medal of Honor™: Above and Beyond,"Dec 10, 2020",31.99,Action,1222,773
1368640,Black Knight - Milena,"Oct 9, 2020",14.99,"Action,Adventure,Indie,RPG",0,0
1184550,TERMINAL VR,"Dec 17, 2019",14.99,"Action,Indie,Early Access",11,5
872720,SuperMash,"Jan 13, 2021",19.99,"Action,Indie,RPG,Simulation",29,13
555220,Detention,"Jan 12, 2017",11.99,"Adventure,Indie",10776,2623
644760,Streetball VR,"Jun 1, 2017",0.99,"Simulation,Sports",16,15
543350,The Night The Carsons Disappeared,"Oct 24, 2016",0.0,Indie,17,10
2053060,Travel The Words,"Jul 16, 2022",4.99,Adventure,0,0
